Time,Side,Entry,Exit,PnL,PnL%,Vol_x,EMA_dist%,HTF_trend,Result
2026-04-11 16:15,Long,72909.58,72900.77,-0.11,-0.01,1.62,0.16,up,LOSS
2026-04-13 14:30,Long,71779.13,73922.6,1.39,2.99,1.16,0.54,up,WIN
2026-04-20 01:45,Long,74728.36,74119.85,-0.51,-0.81,0.59,0.50,up,LOSS
2026-04-20 07:10,Long,74802,75683.64,0.49,1.18,0.86,0.31,up,WIN
2026-04-30 07:30,Long,75999.99,77019.82,0.57,1.34,2.34,0.29,up,WIN
2026-05-18 12:35,Long,77645.43,76695.04,-0.71,-1.22,1.93,0.49,up,LOSS
2026-05-20 10:10,Long,77605.23,77245.77,-0.33,-0.46,0.86,0.16,up,LOSS
2026-05-21 00:30,Long,77743.4,77600,-0.19,-0.18,0.65,0.20,up,LOSS
2026-05-21 17:50,Long,78010.03,77394.33,-0.49,-0.79,0.56,0.53,up,LOSS
2026-05-22 03:00,Long,77749.99,77489,-0.27,-0.34,0.81,0.16,up,LOSS
2026-05-25 06:05,Long,77577.27,77354,-0.24,-0.29,4.88,0.27,up,LOSS
2026-05-26 10:45,Long,77537.52,76435.21,-0.81,-1.42,1.23,0.69,up,LOSS
