Time,Side,Entry,Exit,PnL,PnL%,Vol_x,EMA_dist%,HTF_trend,HTF_ADX,HTF_ATR,HTF_EMA_slope%,Result
2026-04-11 16:15,Long,72909.58,73123.64,0.05,0.29,1.62,0.16,up,53.9,126.8,0.05,WIN
2026-04-13 14:35,Long,71796,74185.75,1.56,3.33,0.88,0.51,up,15.1,263.5,0.37,WIN
2026-04-20 01:45,Long,74728.36,74164.41,-0.48,-0.75,0.59,0.50,up,52.5,222.9,0.08,LOSS
2026-04-20 07:00,Long,74767.6,75683.64,0.51,1.23,1.02,0.33,up,13.9,185.3,0.14,WIN
2026-04-30 07:30,Long,75999.99,77257.33,0.73,1.65,2.34,0.29,up,13.3,168.5,0.07,WIN
2026-05-18 12:35,Long,77645.43,76621.78,-0.76,-1.32,1.93,0.49,up,22.0,192.1,0.22,LOSS
2026-05-20 10:25,Long,77631.49,77362.06,-0.27,-0.35,1.79,0.14,up,25.4,117.2,0.13,LOSS
2026-05-21 00:30,Long,77743.4,77600,-0.19,-0.18,0.65,0.20,up,50.4,120.4,0.07,LOSS
2026-05-21 08:15,Long,78024.38,77430.86,-0.48,-0.76,1.35,0.24,up,53.3,158.0,0.07,LOSS
2026-05-21 17:30,Long,77929.12,77373.57,-0.46,-0.71,1.13,0.64,up,41.8,250.1,0.2,LOSS
2026-05-22 02:30,Long,77622.89,77520.77,-0.17,-0.13,0.78,0.04,up,42.0,135.2,0.04,LOSS
2026-05-25 09:30,Long,77627.18,77405.28,-0.24,-0.29,2.82,0.25,up,13.3,129.9,0.09,LOSS
2026-05-26 10:45,Long,77537.52,76435.21,-0.81,-1.42,1.23,0.69,up,33.0,165.4,0.21,LOSS
