collected_at,wallet,event_type,coin,side,previous_size,current_size,size_delta,entry_price,position_value,unrealized_pnl,return_on_equity,liquidation_price,leverage,raw
2026-06-11T09:57:56+00:00,0x0ddf9bae2af4b874b96d287a5ad42eb47138a902,open,ETH,short,0.0,-60000.0,-60000.0,1810.16,99492000.0,9117786.021883,0.2518498477,2380.0612793256,3.0,"{""current"": {""coin"": ""ETH"", ""cumFunding"": {""allTime"": ""-257838.405506"", ""sinceChange"": ""9625.294776"", ""sinceOpen"": ""-26141.387123""}, ""entryPx"": ""1810.16"", ""leverage"": {""type"": ""cross"", ""value"": 3}, ""liquidationPx"": ""2380.0612793256"", ""marginUsed"": ""33164000.0"", ""maxLeverage"": 25, ""positionValue"": ""99492000.0"", ""returnOnEquity"": ""0.2518498477"", ""szi"": ""-60000.0"", ""unrealizedPnl"": ""9117786.0218829997""}, ""previous"": {}}"
2026-06-11T09:57:58+00:00,0x7fdafde5cfb5465924316eced2d3715494c517d1,open,ADA,short,0.0,-26179.0,-26179.0,0.549523,4356.70918,10029.272284,6.9715592983,879.8786061767,10.0,"{""current"": {""coin"": ""ADA"", ""cumFunding"": {""allTime"": ""-1323.43055"", ""sinceChange"": ""-501.541071"", ""sinceOpen"": ""-1323.43055""}, ""entryPx"": ""0.549523"", ""leverage"": {""type"": ""cross"", ""value"": 10}, ""liquidationPx"": ""879.8786061767"", ""marginUsed"": ""435.670918"", ""maxLeverage"": 10, ""positionValue"": ""4356.70918"", ""returnOnEquity"": ""6.9715592983"", ""szi"": ""-26179.0"", ""unrealizedPnl"": ""10029.272284""}, ""previous"": {}}"
2026-06-11T09:57:58+00:00,0x7fdafde5cfb5465924316eced2d3715494c517d1,open,ASTER,long,0.0,64500.0,64500.0,0.618873,40663.38,746.039136,0.0560688002,,3.0,"{""current"": {""coin"": ""ASTER"", ""cumFunding"": {""allTime"": ""-196771.476902"", ""sinceChange"": ""3.058022"", ""sinceOpen"": ""16.71368""}, ""entryPx"": ""0.618873"", ""leverage"": {""type"": ""cross"", ""value"": 3}, ""liquidationPx"": null, ""marginUsed"": ""13554.46"", ""maxLeverage"": 5, ""positionValue"": ""40663.38"", ""returnOnEquity"": ""0.0560688002"", ""szi"": ""64500.0"", ""unrealizedPnl"": ""746.039136""}, ""previous"": {}}"
2026-06-11T09:57:58+00:00,0x7fdafde5cfb5465924316eced2d3715494c517d1,open,AVAX,short,0.0,-734601.6,-734601.6,13.2086,4827287.49408,4875795.309163,5.0249960843,37.6231806321,10.0,"{""current"": {""coin"": ""AVAX"", ""cumFunding"": {""allTime"": ""-335697.905397"", ""sinceChange"": ""5624.552615"", ""sinceOpen"": ""-335758.692368""}, ""entryPx"": ""13.2086"", ""leverage"": {""type"": ""cross"", ""value"": 10}, ""liquidationPx"": ""37.6231806321"", ""marginUsed"": ""482728.749408"", ""maxLeverage"": 10, ""positionValue"": ""4827287.4940799996"", ""returnOnEquity"": ""5.0249960843"", ""szi"": ""-734601.6"", ""unrealizedPnl"": ""4875795.3091630004""}, ""previous"": {}}"
2026-06-11T09:57:58+00:00,0x7fdafde5cfb5465924316eced2d3715494c517d1,open,BNB,short,0.0,-3333.132,-3333.132,763.004,1999579.21812,543617.050158,2.1375347901,7250.2815175304,10.0,"{""current"": {""coin"": ""BNB"", ""cumFunding"": {""allTime"": ""-39928.760298"", ""sinceChange"": ""-4723.843966"", ""sinceOpen"": ""-38304.406392""}, ""entryPx"": ""763.004"", ""leverage"": {""type"": ""cross"", ""value"": 10}, ""liquidationPx"": ""7250.2815175304"", ""marginUsed"": ""199957.921812"", ""maxLeverage"": 10, ""positionValue"": ""1999579.2181200001"", ""returnOnEquity"": ""2.1375347901"", ""szi"": ""-3333.132"", ""unrealizedPnl"": ""543617.050158""}, ""previous"": {}}"
2026-06-11T09:57:58+00:00,0x7fdafde5cfb5465924316eced2d3715494c517d1,open,BTC,short,0.0,-549.16609,-549.16609,62071.0,34527170.41048,-439857.004217,-0.2580766627,106634.3375328398,20.0,"{""current"": {""coin"": ""BTC"", ""cumFunding"": {""allTime"": ""-2968436.0134979999"", ""sinceChange"": ""0.0"", ""sinceOpen"": ""-22955.386117""}, ""entryPx"": ""62071.0"", ""leverage"": {""type"": ""cross"", ""value"": 20}, ""liquidationPx"": ""106634.3375328398"", ""marginUsed"": ""1726358.5205240001"", ""maxLeverage"": 40, ""positionValue"": ""34527170.4104800001"", ""returnOnEquity"": ""-0.2580766627"", ""szi"": ""-549.16609"", ""unrealizedPnl"": ""-439857.004217""}, ""previous"": {}}"
2026-06-11T09:57:58+00:00,0x7fdafde5cfb5465924316eced2d3715494c517d1,open,DOGE,short,0.0,-37609436.0,-37609436.0,0.108947,3198381.656312,899068.871083,2.1942153177,0.6935276569,10.0,"{""current"": {""coin"": ""DOGE"", ""cumFunding"": {""allTime"": ""-752575.7708910001"", ""sinceChange"": ""-22.377449"", ""sinceOpen"": ""-52147.105819""}, ""entryPx"": ""0.108947"", ""leverage"": {""type"": ""cross"", ""value"": 10}, ""liquidationPx"": ""0.6935276569"", ""marginUsed"": ""319838.165631"", ""maxLeverage"": 10, ""positionValue"": ""3198381.656312"", ""returnOnEquity"": ""2.1942153177"", ""szi"": ""-37609436.0"", ""unrealizedPnl"": ""899068.871083""}, ""previous"": {}}"
2026-06-11T09:57:58+00:00,0x7fdafde5cfb5465924316eced2d3715494c517d1,open,ENA,long,0.0,209641.0,209641.0,0.131656,15832.297961,-11768.323138,-4.2637892444,,10.0,"{""current"": {""coin"": ""ENA"", ""cumFunding"": {""allTime"": ""10233.376747"", ""sinceChange"": ""221.30736"", ""sinceOpen"": ""424.075386""}, ""entryPx"": ""0.131656"", ""leverage"": {""type"": ""cross"", ""value"": 10}, ""liquidationPx"": null, ""marginUsed"": ""1583.229796"", ""maxLeverage"": 10, ""positionValue"": ""15832.297961"", ""returnOnEquity"": ""-4.2637892444"", ""szi"": ""209641.0"", ""unrealizedPnl"": ""-11768.323138""}, ""previous"": {}}"
2026-06-11T09:57:58+00:00,0x7fdafde5cfb5465924316eced2d3715494c517d1,open,ETH,short,0.0,-24394.5903,-24394.5903,1788.94,40451109.63546,3189566.233664,1.0963050538,2636.1250151135,15.0,"{""current"": {""coin"": ""ETH"", ""cumFunding"": {""allTime"": ""-3536362.4987209998"", ""sinceChange"": ""0.0"", ""sinceOpen"": ""-414025.861109""}, ""entryPx"": ""1788.94"", ""leverage"": {""type"": ""cross"", ""value"": 15}, ""liquidationPx"": ""2636.1250151135"", ""marginUsed"": ""2696740.642364"", ""maxLeverage"": 25, ""positionValue"": ""40451109.6354599968"", ""returnOnEquity"": ""1.0963050538"", ""szi"": ""-24394.5903"", ""unrealizedPnl"": ""3189566.2336639999""}, ""previous"": {}}"
2026-06-11T09:57:58+00:00,0x7fdafde5cfb5465924316eced2d3715494c517d1,open,FARTCOIN,short,0.0,-5706949.0,-5706949.0,0.19139,667598.89402,424696.819717,3.8881121145,4.1471260465,10.0,"{""current"": {""coin"": ""FARTCOIN"", ""cumFunding"": {""allTime"": ""-1536105.1882"", ""sinceChange"": ""-74.03125"", ""sinceOpen"": ""-80066.409274""}, ""entryPx"": ""0.19139"", ""leverage"": {""type"": ""cross"", ""value"": 10}, ""liquidationPx"": ""4.1471260465"", ""marginUsed"": ""66759.889402"", ""maxLeverage"": 10, ""positionValue"": ""667598.89402"", ""returnOnEquity"": ""3.8881121145"", ""szi"": ""-5706949.0"", ""unrealizedPnl"": ""424696.819717""}, ""previous"": {}}"
