wallet,source,display_name,account_value,active_24h,is_hft,fills_per_min,snapshot_rank,pnl,roi,volume,roi_pct
0x0ddf9bae2af4b874b96d287a5ad42eb47138a902,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=0,Penision Fund,47202118.445318,True,False,0.0,153.0,34151142.624656,1.6223068667,289622128.84,162.23068667
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=0,,80443435.97785601,True,False,0.0,260.0,17204637.199971,0.8101498684,159351424.91,81.01498684
0x082e843a431aef031264dc232693dd710aedca88,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=0,,13395020.695165,True,False,0.0,18271.0,16922898.822011,1.2199214341,0.0,121.99214341
0xa9b95f2a2e7ef219021efc5c04c32761b8553bbd,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=0,,21979232.972962998,True,False,0.0,1251.0,14106903.332067,2.8271401976,30466808.3,282.71401976
0xb2a1dc0db510e268b645387e852061ce22e2e7aa,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=0,,906285.150004,True,False,0.0,25843.0,12113195.904901,242.2570617241,0.0,242.2570617241
0x0e61a8fb14f6ac999646212d30b2192cd02080dd,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=0,,301021.823754,True,False,0.0,8557.0,11949764.09398,119497.6409398,300060.4,119497.6409398
0x6890f5d900fc26c7563e5032f25bb180bcae2d4a,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=0,,103908.357824,True,False,0.0,3088.0,11378294.527824,113782.94527824,6438844.85,113782.94527824
0xb798aef79972ce8f73d47b9ebbcda6bbb7ec4fbf,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=0,,14852932.515829999,True,False,0.0,8516.0,7419862.216787,0.9982097301,1080853.25,99.82097301
0x218a65e21eddeece7a9df38c6bbdd89f692b7da2,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=0,,5656972.256253,True,False,0.0,2261.0,5759278.632238,1.7279940331,15417919.83,172.79940331
0x2d23b731e5f04996a2dfdbe434c7d922afdb5e00,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=100,thank you JEFF,8028248.610187,True,False,0.0,151.0,5542584.513141001,2.2294621068,292203064.34,222.94621067999998
0x6666885961fec8ed58ddb45637ea41c02d6423f5,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=100,,7414265.819654,True,False,0.0,25913.0,5488205.476547,1.4606810874,0.0,146.06810874
0xd62d484bda5391d75b414e68f9ddcedb207b7d91,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=100,,8713159.548983,True,False,0.0,34999.0,5372685.144335,1.6083599194,0.0,160.83599194
0x50b309f78e774a756a2230e1769729094cac9f20,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=100,,7714805.052838,True,False,0.0,14.0,4716400.622562,1.1708780537,5909444391.35,117.08780537000001
