platform,tier,wallet,nickname,pnl_30d,roi_pct,sample,max_drawdown,win_rate_pct,position_size_usd,size_mult
okx_web3,hot,AcoNeFQsTPYs7ZrH8RMWaxxGJTTQJJ4H5aTXmptaz5UK,I̶l̷y̶,50582.59,1070.61,61.0,0.0,54.55,200,2.0
hyperliquid,hot,0x2d23b731e5f04996a2dfdbe434c7d922afdb5e00,thank you JEFF,5542584.51,222.95,292203064.34,0.0,0.0,200,2.0
hyperliquid,hot,0x5875d72130981b18692a3d29545e4038f7eb0c38,,1969665.46,202.57,206702302.5,0.0,0.0,200,2.0
hyperliquid,hot,0xc30c7ea910a71ce06ae840868b0c7e47616ba4c9,,2047464.61,185.46,107573280.45,0.0,0.0,200,2.0
hyperliquid,hot,0x0ddf9bae2af4b874b96d287a5ad42eb47138a902,Penision Fund,34151142.62,162.23,289622128.84,0.0,0.0,200,2.0
okx_web3,warm,BmYronQn5nHAsFhdESgsFvk33qn2vg8GobfydHZoCabM,BmYronQn5n,6671.23,5208.03,79.0,0.0,66.67,100,1.0
okx_web3,warm,AmHZr5CPJ88F5rMneFNSdbEqerDAozPkfLFErTuNLFjC,AmHZr5CPJ8,8493.49,1034.14,47.0,0.0,50.0,100,1.0
okx_web3,warm,3EjM5dAqF7qt9g9GNy76wb3BjPDCQABJWrKuRDoKVutd,3EjM5dAqF7,6644.05,499.01,32.0,0.0,50.0,100,1.0
okx_web3,warm,4U49yhTvtd5b4igbaMz3xDX5Qf3AYhcrZZgAT7ZJPWmF,4U49yhTvtd,7042.84,380.17,47.0,0.0,45.45,100,1.0
okx_web3,warm,AeYvXEArmGfBpFHhM4xcaLnLhY4xzKK4bn1uStxXi2fR,AeYvXEArmG,6140.75,245.83,129.0,0.0,66.67,100,1.0
okx_web3,warm,39ZPo8CUxAXQFuc57EymAKVMTYtAXYsCnAKw74BW2Rac,39ZPo8CUxA,9706.77,176.77,203.0,0.0,50.0,100,1.0
okx_web3,warm,4BdKaxN8G6ka4GYtQQWk4G4dZRUTX2vQH9GcXdBREFUk,jijo,6417.48,140.37,114.0,0.0,94.44,100,1.0
okx_web3,warm,6GBG8SDMCESvhNzmVyHyQz8ZtonHqXKXWb6FMYZC3HWm,6GBG8SDMCE,6997.49,117.91,77.0,1.0,50.0,100,1.0
hyperliquid,warm,0x50b309f78e774a756a2230e1769729094cac9f20,,4716400.62,117.09,5909444391.35,0.0,0.0,100,1.0
hyperliquid,warm,0xbf732ea04197942783e34730ed6e0f6099575d58,,1881151.21,113.07,724772669.41,0.0,0.0,100,1.0
hyperliquid,warm,0xbcd420d13362532756c968f663f96ba95e240dd2,,3912423.66,97.94,271581018.1,0.0,0.0,100,1.0
okx_web3,warm,6dttEjZXrbjKfbvzGMdTecnTS8k21fQ3ho7q6KkePT9H,6dttEjZXrb,6011.13,94.12,349.0,36.0,51.56,100,1.0
hyperliquid,warm,0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,,1146801.57,89.44,369978419.66,0.0,0.0,100,1.0
hyperliquid,warm,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,17204637.2,81.01,159351424.91,0.0,0.0,100,1.0
okx_web3,explore,2WM7WkBtBrpgWPQ6ne9X4BjPJhW6YzaGhyvYq5pfiT2i,2WM7WkBtBr,15731.77,1497.43,31.0,50.0,66.67,50,0.5
okx_web3,explore,6vAh7uyu5bUxPBtXwVwBoyVh3LJ79WKY2CvJbrvH2PPr,6vAh7uyu5b,2004.81,383.96,30.0,27.0,50.0,50,0.5
hyperliquid,explore,0xa9b95f2a2e7ef219021efc5c04c32761b8553bbd,,14106903.33,282.71,30466808.3,0.0,0.0,50,0.5
okx_web3,explore,5UtwSfjgUbRUqkahkMRJCUdhQMPc3Kk6YMrVBj45e8BF,5UtwSfjgUb,4686.62,172.31,423.0,0.0,100.0,50,0.5
okx_web3,explore,3KsusBEDBpcPsmpgAdsseMsWGM1gfaCjky6TkVVwkhR9,3KsusBEDBp,4285.41,137.29,1060.0,0.0,50.0,50,0.5
okx_web3,explore,3E6Gt9FSLfPrFu8DWSN4dD4NmT3nYTTeMqKvKsqouKhM,3E6Gt9FSLf,2595.77,130.0,87.0,0.0,50.0,50,0.5
okx_web3,explore,7npfXqG4qiNAA26GCFNs6U4UnWSvaJyw1WX6tMmF4ZDa,7npfXqG4qi,1358.52,118.34,32.0,0.0,100.0,50,0.5
hyperliquid,explore,0x3440f23a87f1950e7a88cd248fd270e92d1132c5,,2387518.91,117.41,22630852.94,0.0,0.0,50,0.5
hyperliquid,explore,0x525232cb6ed5030d2b052b36bfc0baec96986ee3,z3ro2,3725566.33,89.38,45762590.25,0.0,0.0,50,0.5
okx_web3,explore,eSGWeMXohTTRLHEBraw8zfwwV2FpJbyRubv8TCvebgg,eSGWeMXohT,1178.18,84.59,31.0,0.0,100.0,50,0.5
okx_web3,explore,GengvgZJ9gwFBmuXsmTFroX66xdXJH7T5nrU9yboVeXi,GengvgZJ9g,6236.3,61.55,82.0,0.0,52.38,50,0.5
okx_web3,explore,BWp5WNeY54uGEzdbma8aj2xwwK4hEAomq2BwDZUuMbBM,BWp5WNeY54,8268.82,55.42,304.0,4.0,59.32,50,0.5
okx_web3,explore,6mWEJG9LoRdto8TwTdZxmnJpkXpTsEerizcGiCNZvzXd,slingoor szn,9162.07,55.01,253.0,15.0,46.88,50,0.5
