platform,trader_id,wallet,nickname,rank,score,win_rate,win_rate_pct,total_trades,tx,pnl_30d,pnl,drawdown,pnl_history_max_drawdown,top_tokens,profile_url
okx_web3,AcoNeFQsTPYs7ZrH8RMWaxxGJTTQJJ4H5aTXmptaz5UK,AcoNeFQsTPYs7ZrH8RMWaxxGJTTQJJ4H5aTXmptaz5UK,I̶l̷y̶,1,26.3236,54.5455,54.5455,61,61,50582.590083,50582.590083,0.0,0.0,Jotchua|ELON|drooling,https://web3.okx.com/portfolio/AcoNeFQsTPYs7ZrH8RMWaxxGJTTQJJ4H5aTXmptaz5UK/analysis?chainIndex=501
okx_web3,BmYronQn5nHAsFhdESgsFvk33qn2vg8GobfydHZoCabM,BmYronQn5nHAsFhdESgsFvk33qn2vg8GobfydHZoCabM,BmYronQn5n,2,24.8021,66.6667,66.6667,79,79,6671.231239,6671.231239,0.0,0.0,FRAG|Pump,https://web3.okx.com/portfolio/BmYronQn5nHAsFhdESgsFvk33qn2vg8GobfydHZoCabM/analysis?chainIndex=501
okx_web3,AmHZr5CPJ88F5rMneFNSdbEqerDAozPkfLFErTuNLFjC,AmHZr5CPJ88F5rMneFNSdbEqerDAozPkfLFErTuNLFjC,AmHZr5CPJ8,3,24.155,50.0,50.0,47,47,8493.488869,8493.488869,0.0,0.0,GutGenug|Merlin|Tourists,https://web3.okx.com/portfolio/AmHZr5CPJ88F5rMneFNSdbEqerDAozPkfLFErTuNLFjC/analysis?chainIndex=501
okx_web3,5UtwSfjgUbRUqkahkMRJCUdhQMPc3Kk6YMrVBj45e8BF,5UtwSfjgUbRUqkahkMRJCUdhQMPc3Kk6YMrVBj45e8BF,5UtwSfjgUb,4,18.69,100.0,100.0,423,423,4686.619246,4686.619246,0.0,0.0,WOKE|DOGEUS,https://web3.okx.com/portfolio/5UtwSfjgUbRUqkahkMRJCUdhQMPc3Kk6YMrVBj45e8BF/analysis?chainIndex=501
okx_web3,3EjM5dAqF7qt9g9GNy76wb3BjPDCQABJWrKuRDoKVutd,3EjM5dAqF7qt9g9GNy76wb3BjPDCQABJWrKuRDoKVutd,3EjM5dAqF7,5,18.6642,50.0,50.0,32,32,6644.046841,6644.046841,0.0,0.0,KINS|GACHAWHEEL|STARTPUP,https://web3.okx.com/portfolio/3EjM5dAqF7qt9g9GNy76wb3BjPDCQABJWrKuRDoKVutd/analysis?chainIndex=501
okx_web3,4BdKaxN8G6ka4GYtQQWk4G4dZRUTX2vQH9GcXdBREFUk,4BdKaxN8G6ka4GYtQQWk4G4dZRUTX2vQH9GcXdBREFUk,jijo,6,17.8936,94.4444,94.4444,114,114,6417.482341,6417.482341,0.0,0.0,Never|ASTEROID|デブ,https://web3.okx.com/portfolio/4BdKaxN8G6ka4GYtQQWk4G4dZRUTX2vQH9GcXdBREFUk/analysis?chainIndex=501
okx_web3,AeYvXEArmGfBpFHhM4xcaLnLhY4xzKK4bn1uStxXi2fR,AeYvXEArmGfBpFHhM4xcaLnLhY4xzKK4bn1uStxXi2fR,AeYvXEArmG,7,17.4972,66.6667,66.6667,129,129,6140.754585,6140.754585,0.0,0.0,CHEESEX|DOGEUS,https://web3.okx.com/portfolio/AeYvXEArmGfBpFHhM4xcaLnLhY4xzKK4bn1uStxXi2fR/analysis?chainIndex=501
okx_web3,4U49yhTvtd5b4igbaMz3xDX5Qf3AYhcrZZgAT7ZJPWmF,4U49yhTvtd5b4igbaMz3xDX5Qf3AYhcrZZgAT7ZJPWmF,4U49yhTvtd,8,17.4664,45.4545,45.4545,47,47,7042.837096,7042.837096,0.0,0.0,FANTASY|Nessie|Fred,https://web3.okx.com/portfolio/4U49yhTvtd5b4igbaMz3xDX5Qf3AYhcrZZgAT7ZJPWmF/analysis?chainIndex=501
okx_web3,39ZPo8CUxAXQFuc57EymAKVMTYtAXYsCnAKw74BW2Rac,39ZPo8CUxAXQFuc57EymAKVMTYtAXYsCnAKw74BW2Rac,39ZPo8CUxA,9,16.7277,50.0,50.0,203,203,9706.772416,9706.772416,0.0,0.0,RUNNER|Manlets|Pump.fun,https://web3.okx.com/portfolio/39ZPo8CUxAXQFuc57EymAKVMTYtAXYsCnAKw74BW2Rac/analysis?chainIndex=501
okx_web3,6vAh7uyu5bUxPBtXwVwBoyVh3LJ79WKY2CvJbrvH2PPr,6vAh7uyu5bUxPBtXwVwBoyVh3LJ79WKY2CvJbrvH2PPr,6vAh7uyu5b,10,16.2954,50.0,50.0,30,30,2004.812723,2004.812723,27.0,-27.0,CHANCE|fable|KNICKS,https://web3.okx.com/portfolio/6vAh7uyu5bUxPBtXwVwBoyVh3LJ79WKY2CvJbrvH2PPr/analysis?chainIndex=501
okx_web3,3KsusBEDBpcPsmpgAdsseMsWGM1gfaCjky6TkVVwkhR9,3KsusBEDBpcPsmpgAdsseMsWGM1gfaCjky6TkVVwkhR9,3KsusBEDBp,11,16.2331,50.0,50.0,1060,1060,4285.413541,4285.413541,0.0,0.0,AAIF,https://web3.okx.com/portfolio/3KsusBEDBpcPsmpgAdsseMsWGM1gfaCjky6TkVVwkhR9/analysis?chainIndex=501
okx_web3,BWp5WNeY54uGEzdbma8aj2xwwK4hEAomq2BwDZUuMbBM,BWp5WNeY54uGEzdbma8aj2xwwK4hEAomq2BwDZUuMbBM,BWp5WNeY54,12,16.1424,59.322,59.322,304,304,8268.817555,8268.817555,4.0,-4.0,Fine|BRICKS|THROWING,https://web3.okx.com/portfolio/BWp5WNeY54uGEzdbma8aj2xwwK4hEAomq2BwDZUuMbBM/analysis?chainIndex=501
okx_web3,6dttEjZXrbjKfbvzGMdTecnTS8k21fQ3ho7q6KkePT9H,6dttEjZXrbjKfbvzGMdTecnTS8k21fQ3ho7q6KkePT9H,6dttEjZXrb,13,15.7574,51.5625,51.5625,349,349,6011.125057,6011.125057,36.0,-36.0,Jotchua|VANCE|Gnome,https://web3.okx.com/portfolio/6dttEjZXrbjKfbvzGMdTecnTS8k21fQ3ho7q6KkePT9H/analysis?chainIndex=501
okx_web3,7npfXqG4qiNAA26GCFNs6U4UnWSvaJyw1WX6tMmF4ZDa,7npfXqG4qiNAA26GCFNs6U4UnWSvaJyw1WX6tMmF4ZDa,7npfXqG4qi,14,15.7371,100.0,100.0,32,32,1358.519698,1358.519698,0.0,0.0,POKEHUB|ABEL|POKEHUB,https://web3.okx.com/portfolio/7npfXqG4qiNAA26GCFNs6U4UnWSvaJyw1WX6tMmF4ZDa/analysis?chainIndex=501
okx_web3,6mWEJG9LoRdto8TwTdZxmnJpkXpTsEerizcGiCNZvzXd,6mWEJG9LoRdto8TwTdZxmnJpkXpTsEerizcGiCNZvzXd,slingoor szn,15,15.6094,46.875,46.875,253,253,9162.070198,9162.070198,15.0,-15.0,LMAO!|SLING|TheRealtor,https://web3.okx.com/portfolio/6mWEJG9LoRdto8TwTdZxmnJpkXpTsEerizcGiCNZvzXd/analysis?chainIndex=501
