collected_at,block_time,wallet,signature,slot,action,token_mint,token_symbol,token_delta,quote_mint,quote_symbol,quote_delta,price_estimate,fee_sol,success,raw
2026-06-11T06:46:43+00:00,2026-06-11T03:38:05+00:00,4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9,b2NDtMvjMGJiHJ15vKfShcsLYcpZwER81xXBMTETooW8Po7c6LnzuFPb5PuKdkfqpEVA263X268p5vLYgjp1eiS,425683230,sell,GSiQZVqAFrpkSJtMrXgigTQtX2RdVw1azHgUDYvrpump,GSiQZVqA,-48167731.553303,So11111111111111111111111111111111111111112,SOL,2.864798157,5.947546344028635e-08,0.000486,True,"{""quote_candidates"": {""So11111111111111111111111111111111111111112"": 2.864798157}, ""token_deltas"": {""GSiQZVqAFrpkSJtMrXgigTQtX2RdVw1azHgUDYvrpump"": -48167731.553303, ""So11111111111111111111111111111111111111112"": 2.864798157}}"
2026-06-11T06:46:43+00:00,2026-06-11T03:37:51+00:00,4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9,4RyVTAudTgTrvnuduTjUxXWLDriVK1FhZtE6qYc1xHi3CJz65rkJuyA3UVyzHWeuvdry6nj5wGCUB59sQB2W4y27,425683194,buy,GSiQZVqAFrpkSJtMrXgigTQtX2RdVw1azHgUDYvrpump,GSiQZVqA,288847.16696299985,So11111111111111111111111111111111111111112,SOL,-0.025105001,8.691447890578012e-08,5.5e-05,True,"{""quote_candidates"": {""So11111111111111111111111111111111111111112"": -0.025105001}, ""token_deltas"": {""GSiQZVqAFrpkSJtMrXgigTQtX2RdVw1azHgUDYvrpump"": 288847.16696299985, ""So11111111111111111111111111111111111111112"": -0.025105001}}"
2026-06-11T06:46:44+00:00,2026-06-11T03:37:31+00:00,4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9,5jwdyRu5W37PhNaCs1jkKGD3yaygVtVJDzvGczKDbeRiCcrE2XJ2D1pz6LmD9zWT1zrSGZ8tMUAzxz6bgnVGi22P,425683145,buy,GSiQZVqAFrpkSJtMrXgigTQtX2RdVw1azHgUDYvrpump,GSiQZVqA,3133320.009475,So11111111111111111111111111111111111111112,SOL,-0.250105001,7.982108442281517e-08,5.5e-05,True,"{""quote_candidates"": {""So11111111111111111111111111111111111111112"": -0.250105001}, ""token_deltas"": {""GSiQZVqAFrpkSJtMrXgigTQtX2RdVw1azHgUDYvrpump"": 3133320.009475, ""So11111111111111111111111111111111111111112"": -0.250105001}}"
2026-06-11T06:46:44+00:00,2026-06-11T03:37:19+00:00,4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9,uTfHggj8ePAExPusSdg88HAWi5o1muUC1bSRuNbZDGKDjbP66uywA5vsqRCBKsHy1dfH6ygRJVXYaGQ7WaEwLUc,425683116,buy,GSiQZVqAFrpkSJtMrXgigTQtX2RdVw1azHgUDYvrpump,GSiQZVqA,257187.57897999883,So11111111111111111111111111111111111111112,SOL,-0.025105001,9.761358266043005e-08,5.5e-05,True,"{""quote_candidates"": {""So11111111111111111111111111111111111111112"": -0.025105001}, ""token_deltas"": {""GSiQZVqAFrpkSJtMrXgigTQtX2RdVw1azHgUDYvrpump"": 257187.57897999883, ""So11111111111111111111111111111111111111112"": -0.025105001}}"
2026-06-11T06:46:48+00:00,2026-06-11T02:02:11+00:00,78N177fzNJpp8pG49xDv1efYcTMSzo9tPTKEA9mAVkh2,5UFJLVEwMmhnvoCMSp8eEeBRPcwPTxU6rYMZLY4Vu2osf2v8Ar7KqfPZJWUn9MZKYHgkt5BQAbwXvxHvdRnmk1eH,425668709,buy,9gS5h3zuca4ytepHW978qPzLUUnDAYiZMycuXB9Qpump,9gS5h3zu,12.741818,,,0.0,,5.6e-06,True,"{""quote_candidates"": {}, ""token_deltas"": {""9gS5h3zuca4ytepHW978qPzLUUnDAYiZMycuXB9Qpump"": 12.741818}}"
2026-06-11T06:46:49+00:00,2026-06-11T06:42:52+00:00,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT,2pR9njDVD6cQ4PWJdTQEWqdVBLsqdWcD7ync2srDBnwNhPTU824GQ52AQnyUsmpXm1NMYyk79F29yrP1JWgcazRW,425711212,sell,BnzpBf2YittXr8DnPvLhQCzRybz8MM4tWMXHrjw6pump,BnzpBf2Y,-24130049.336523,So11111111111111111111111111111111111111112,SOL,1.642189182,6.805577390653731e-08,0.00022,True,"{""quote_candidates"": {""So11111111111111111111111111111111111111112"": 1.642189182}, ""token_deltas"": {""BnzpBf2YittXr8DnPvLhQCzRybz8MM4tWMXHrjw6pump"": -24130049.336523, ""So11111111111111111111111111111111111111112"": 1.642189182}}"
2026-06-11T06:46:49+00:00,2026-06-11T06:42:39+00:00,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT,2xznFABxwDRXiRmiR1BmFpR1J4mGZ8iGdnoKEiCQYPqpqzPykoJm4aU4BBKtBtRpSv4poJcseBmFdHLRtTRFDaRv,425711180,buy,BnzpBf2YittXr8DnPvLhQCzRybz8MM4tWMXHrjw6pump,BnzpBf2Y,114695.0679159984,So11111111111111111111111111111111111111112,SOL,-0.010009,8.726617614743904e-08,7e-06,True,"{""quote_candidates"": {""So11111111111111111111111111111111111111112"": -0.010009}, ""token_deltas"": {""BnzpBf2YittXr8DnPvLhQCzRybz8MM4tWMXHrjw6pump"": 114695.0679159984, ""So11111111111111111111111111111111111111112"": -0.010009}}"
2026-06-11T06:46:50+00:00,2026-06-11T06:42:23+00:00,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT,dLFc1gJvNP2SyRDzDwAX599yQNLxxybYmqfTLczgTSHigPx4QTrDBBMcvDrmaDhphd6HGEZkFeYrsgqiufbY7ED,425711141,buy,BnzpBf2YittXr8DnPvLhQCzRybz8MM4tWMXHrjw6pump,BnzpBf2Y,106117.28043200076,So11111111111111111111111111111111111111112,SOL,-0.010009,9.432017065697137e-08,7e-06,True,"{""quote_candidates"": {""So11111111111111111111111111111111111111112"": -0.010009}, ""token_deltas"": {""BnzpBf2YittXr8DnPvLhQCzRybz8MM4tWMXHrjw6pump"": 106117.28043200076, ""So11111111111111111111111111111111111111112"": -0.010009}}"
2026-06-11T06:46:51+00:00,2026-06-11T06:41:40+00:00,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT,22boDD3vK6pAEtn6rcJVFnZyHqS4goFu5s26FgwpiP3UVuh7dd9J2U3EDWRwmfVvN9x2hdduvDNEa6PdHWtBCVjX,425711036,buy,BnzpBf2YittXr8DnPvLhQCzRybz8MM4tWMXHrjw6pump,BnzpBf2Y,23909236.988175,So11111111111111111111111111111111111111112,SOL,-2.01707908,8.436400881373186e-08,0.000445,True,"{""quote_candidates"": {""So11111111111111111111111111111111111111112"": -2.01707908}, ""token_deltas"": {""BnzpBf2YittXr8DnPvLhQCzRybz8MM4tWMXHrjw6pump"": 23909236.988175, ""So11111111111111111111111111111111111111112"": -2.01707908}}"
2026-06-11T06:46:51+00:00,2026-06-11T06:33:32+00:00,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT,4brxR6qxMM2jPFJXr5UMdFTwz9WKj7kXwcSJSzLHrsJULQAMULKt6y1MCJHQy2BcztdNbt3aA6LqhWgMYTtaPHQp,425709805,sell,5Dzcc6XKfJKumxWhCo6JBzQZgtSX8LTdhwuNWMKdpump,5Dzcc6XK,-29780639.457448,So11111111111111111111111111111111111111112,SOL,3.154743997,1.0593271516240104e-07,0.00022,True,"{""quote_candidates"": {""So11111111111111111111111111111111111111112"": 3.154743997}, ""token_deltas"": {""5Dzcc6XKfJKumxWhCo6JBzQZgtSX8LTdhwuNWMKdpump"": -29780639.457448, ""So11111111111111111111111111111111111111112"": 3.154743997}}"
2026-06-11T06:46:52+00:00,2026-06-11T06:33:20+00:00,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT,7Zoxmc5cBKsTgnHtTVfaxo5oKzXu8i3fmZnta52BjUuGVURgKHJCDKPvQszZiPHT6zDsddT3z3xyPe61V1CbTsA,425709776,buy,5Dzcc6XKfJKumxWhCo6JBzQZgtSX8LTdhwuNWMKdpump,5Dzcc6XK,83096.53415799886,So11111111111111111111111111111111111111112,SOL,-0.010009,1.2045027029609918e-07,7e-06,True,"{""quote_candidates"": {""So11111111111111111111111111111111111111112"": -0.010009}, ""token_deltas"": {""5Dzcc6XKfJKumxWhCo6JBzQZgtSX8LTdhwuNWMKdpump"": 83096.53415799886, ""So11111111111111111111111111111111111111112"": -0.010009}}"
2026-06-11T06:46:52+00:00,2026-06-11T06:32:57+00:00,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT,rcmVvJ9bdZ9jBmTw6z8SuivfAe1qGtcoSgiendU7d6VaV3Yo9BcGuPhsGHhWK2jaV9CTuP3suXZcapzq5WzE5k9,425709717,buy,5Dzcc6XKfJKumxWhCo6JBzQZgtSX8LTdhwuNWMKdpump,5Dzcc6XK,2384570.138717998,So11111111111111111111111111111111111111112,SOL,-0.250009001,1.0484447361838174e-07,7e-06,True,"{""quote_candidates"": {""So11111111111111111111111111111111111111112"": -0.250009001}, ""token_deltas"": {""5Dzcc6XKfJKumxWhCo6JBzQZgtSX8LTdhwuNWMKdpump"": 2384570.138717998, ""So11111111111111111111111111111111111111112"": -0.250009001}}"
